TEMPORADA,FEDERACIÓN,Total,T. Jres,Senior,"Sub
21","Sub
18","Sub
16","Sub
14","Sub
12","Sub
10","Sub
8","Sub
6","T.
Jras",Esc.
2020,Aragón,859.0,782.0,357.0,0,77.0,102.0,92.0,3.0,7.0,2.0,27.0,161.0,251.0
2020,Asturias,611.0,498.0,173.0,40.0,58.0,63.0,57.0,51.0,38.0,23.0,2.0,109.0,263.0
2020,Baleares,1005.0,956.0,220.0,25.0,103.0,99.0,104.0,103.0,76.0,59.0,23.0,98.0,155.0
2020,Canarias,225.0,213.0,77.0,0,28.0,20.0,22.0,19.0,18.0,5.0,5.0,19.0,75.0
2020,Cantabria,447.0,351.0,59.0,18.0,39.0,57.0,53.0,50.0,81.0,15.0,7.0,55.0,0
2020,Cas. y León,1750.0,1678.0,264.0,57.0,143.0,162.0,181.0,154.0,239.0,151.0,151.0,295.0,0
2020,Cataluña,5599.0,4831.0,1476.0,299.0,569.0,662.0,567.0,520.0,352.0,336.0,99.0,825.0,0
2020,Extremadura,128.0,113.0,172.0,0,10.0,9.0,6.0,6.0,5.0,2.0,1.0,6.0,34.0
2020,Galicia,1265.0,1042.0,306.0,38.0,79.0,112.0,102.0,137.0,0,0,0,190.0,0
2020,Madrid,7554.0,6793.0,1374.0,231.0,487.0,725.0,728.0,700.0,639.0,572.0,349.0,683.0,0
2020,Murcia,667.0,459.0,198.0,66.0,110.0,70.0,0,0,0,0,0,120.0,154.0
2020,Navarra (y La R.),559.0,505.0,90.0,20.0,78.0,89.0,52.0,47.0,59.0,14.0,8.0,18.0,0
2020,Valencia,3547.0,3174.0,944.0,234.0,337.0,400.0,379.0,376.0,226.0,208.0,99.0,172.0,533.0
2020,País Vasco,1742.0,1551.0,725.0,270.0,263.0,230.0,0,0,0,0,0,275.0,895.0
2020,FER,37.0,16.0,0,0,0,0,0,0,0,0,0,0,0
