2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19613.0,21037.0,23195.0,22083.0,23319.0,25341.0,27361.0,29570.0,30550.0,31965.0,32011.0,26358.0
1359.0,1310.0,1654.0,1680.0,2573.0,3138.0,4331.0,4662.0,5132.0,5817.0,5739.0,5975.0
